"Date","Price","Open","High","Low","Vol.","Change %"
2022- 06- 06,"81,900","84,500","84,800","81,600",0,0%
2022- 06- 03,"85,700","84,800","87,400","84,700",2.36M,2.39%
2022- 06- 02,"83,700","84,000","84,200","82,900",1.14M,-1.53%
2022- 06- 01,"83,700","84,000","84,200","82,900",0,0%
2022- 05- 31,"85,000","84,100","85,000","82,900",2.15M,1.31%
2022- 05- 30,"83,900","82,800","84,000","82,600",2.08M,2.69%
2022- 05- 27,"81,700","82,400","83,000","81,500",1.03M,0.25%
2022- 05- 26,"81,500","81,900","83,300","81,000",1.33M,-0.37%
2022- 05- 25,"81,800","81,000","82,000","80,300",1.36M,1.49%
2022- 05- 24,"80,600","82,500","82,600","80,600",1.15M,-2.77%
2022- 05- 23,"82,900","82,700","83,500","82,400",929.58K,-0.12%
2022- 05- 22,"82,900","82,700","83,500","82,400",0,0%
2022- 05- 20,"83,000","80,800","83,300","80,400",1.56M,3.23%
2022- 05- 19,"80,400","80,500","81,000","80,000",1.51M,-2.66%
2022- 05- 18,"82,600","83,700","84,000","82,500",1.20M,-0.72%
2022- 05- 17,"83,200","82,300","83,400","82,100",1.21M,1.09%
2022- 05- 16,"82,300","83,300","84,300","82,100",1.59M,0.61%
2022- 05- 15,"82,300","83,300","84,300","82,100",0,0%
2022- 05- 13,"81,800","80,700","81,900","80,300",1.52M,1.36%
2022- 05- 12,"80,700","83,700","84,000","80,600",2.96M,-5.50%
2022- 05- 11,"85,400","83,800","85,400","83,300",1.36M,2.15%
2022- 05- 10,"83,600","82,000","84,300","81,900",2.38M,-0.59%
2022- 05- 09,"84,100","84,000","85,000","82,800",1.52M,-0.24%
2022- 05- 08,"84,100","84,000","85,000","82,800",0,0%
2022- 05- 06,"84,300","86,500","86,600","84,100",3.57M,-5.28%
2022- 05- 05,"84,300","86,500","86,600","84,100",0,0%
2022- 05- 04,"89,000","88,600","91,900","88,300",1.86M,0.56%
2022- 05- 03,"88,500","87,300","89,200","87,000",1.43M,1.37%
2022- 05- 02,"87,300","88,400","88,900","87,000",1.72M,-2.89%
2022- 05- 01,"87,300","88,400","88,900","87,000",0,0%
2022- 04- 29,"89,900","89,300","90,400","88,700",1.10M,0.67%
2022- 04- 28,"89,300","89,700","89,800","88,100",1.20M,1.02%
2022- 04- 27,"88,400","87,600","88,900","87,600",1.38M,-2.00%
2022- 04- 26,"90,200","89,800","91,700","89,700",1.36M,0.56%
2022- 04- 25,"89,700","90,400","91,600","89,600",1.50M,-2.50%
2022- 04- 24,"89,700","90,400","91,600","89,600",0,0%
2022- 04- 22,"92,000","92,200","92,400","91,400",1.55M,-1.71%
2022- 04- 21,"93,600","95,100","95,100","93,100",1.77M,-1.58%
2022- 04- 20,"95,100","96,100","96,200","94,600",876.64K,0.00%
2022- 04- 19,"95,100","95,000","96,500","94,900",831.80K,0.74%
2022- 04- 18,"94,400","94,500","94,900","94,000",767.21K,-1.05%
2022- 04- 17,"94,400","94,500","94,900","94,000",0,0%
2022- 04- 15,"95,400","95,000","96,700","93,700",1.08M,-0.73%
2022- 04- 14,"96,100","96,400","96,500","94,500",1.29M,0.31%
2022- 04- 13,"95,800","95,000","96,200","94,600",1.40M,1.81%
2022- 04- 12,"94,100","93,400","95,100","92,100",1.89M,-1.05%
2022- 04- 11,"95,100","97,100","97,100","94,600",2.04M,-2.96%
2022- 04- 10,"95,100","97,100","97,100","94,600",0,0%
2022- 04- 08,"98,000","100,000","100,500","96,500",2.92M,-1.90%
2022- 04- 07,"99,900","103,000","103,500","99,900",2.87M,-4.86%
2022- 04- 06,"105,000","105,500","106,500","104,000",1.52M,-2.33%
2022- 04- 05,"107,500","106,500","108,000","106,000",1.61M,1.90%
2022- 04- 04,"105,500","105,500","106,000","104,000",1.27M,-0.47%
2022- 04- 03,"105,500","105,500","106,000","104,000",0,0%
2022- 04- 01,"106,000","105,500","106,500","105,000",1.16M,-0.47%
