"Date","Price","Open","High","Low","Vol.","Change %"
"2023- 03- 14","196,000","200,000","202,000","196,000","753.74K","-3.21%"
"2023- 03- 13","202,500","199,800","203,000","194,600","1.03M","1.35%"
"2023- 03- 12","199,800","199,800","199,800","199,800","","0.00%"
"2023- 03- 10","199,800","198,000","201,000","197,800","829.91K","-1.09%"
"2023- 03- 09","202,000","204,500","206,000","202,000","756.24K","-0.25%"
"2023- 03- 08","202,500","208,500","209,000","202,000","1.01M","-4.03%"
"2023- 03- 07","211,000","214,000","214,500","210,500","636.86K","-1.63%"
"2023- 03- 06","214,500","208,500","214,500","208,500","1.05M","4.38%"
"2023- 03- 05","205,500","205,500","205,500","205,500","","0.00%"
"2023- 03- 03","205,500","207,500","210,500","205,500","725.42K","-0.24%"
"2023- 03- 02","206,000","207,500","209,500","205,000","814.10K","-1.20%"
"2023- 03- 01","208,500","208,500","208,500","208,500","","0.00%"
"2023- 02- 28","208,500","209,500","212,000","207,500","823.56K","0.24%"
"2023- 02- 27","208,000","204,000","209,000","204,000","925.55K","0.00%"
"2023- 02- 26","208,000","208,000","208,000","208,000","","0.00%"
"2023- 02- 24","208,000","213,500","214,000","207,000","846.83K","-2.58%"
"2023- 02- 23","213,500","212,000","214,500","211,000","560.00K","0.95%"
"2023- 02- 22","211,500","211,500","213,500","210,500","818.62K","-1.86%"
"2023- 02- 21","215,500","220,500","220,500","215,000","640.18K","-1.60%"
"2023- 02- 20","219,000","215,500","220,000","213,500","569.22K","1.62%"
"2023- 02- 19","215,500","215,500","215,500","215,500","","0.00%"
"2023- 02- 17","215,500","216,000","219,000","212,000","901.80K","-2.27%"
"2023- 02- 16","220,500","218,000","222,500","218,000","957.31K","2.32%"
"2023- 02- 15","215,500","224,500","224,500","215,000","1.42M","-3.79%"
"2023- 02- 14","224,000","226,500","228,500","223,000","742.64K","0.45%"
"2023- 02- 13","223,000","231,000","231,000","220,500","1.30M","-3.04%"
"2023- 02- 12","230,000","230,000","230,000","230,000","","0.00%"
"2023- 02- 10","230,000","226,000","230,500","222,000","1.32M","0.00%"
"2023- 02- 09","230,000","224,500","230,500","224,000","1.55M","-0.22%"
"2023- 02- 08","230,500","224,500","232,000","224,000","1.77M","5.01%"
"2023- 02- 07","219,500","216,000","220,500","215,000","1.04M","1.86%"
"2023- 02- 06","215,500","221,000","224,500","215,500","1.38M","-3.58%"
"2023- 02- 05","223,500","223,500","223,500","223,500","","0.00%"
"2023- 02- 03","223,500","214,000","225,500","210,500","3.06M","5.67%"
"2023- 02- 02","211,500","213,000","213,500","210,500","1.23M","2.92%"
"2023- 02- 01","205,500","204,500","208,500","202,500","854.28K","1.48%"
"2023- 01- 31","202,500","206,000","208,500","202,000","1.06M","-2.17%"
"2023- 01- 30","207,000","212,000","214,000","206,500","1.16M","-2.13%"
"2023- 01- 29","211,500","211,500","211,500","211,500","","0.00%"
"2023- 01- 27","211,500","204,500","211,500","202,000","1.21M","3.68%"
"2023- 01- 26","204,000","202,500","204,000","199,900","869.94K","0.99%"
"2023- 01- 25","202,000","200,500","203,500","199,600","985.59K","3.06%"
