"Date","Price","Open","High","Low","Vol.","Change %"
"2022- 09- 02","196,500","199,000","203,500","196,000","1.40M","0.51%"
"2022- 09- 01","195,500","193,500","197,500","191,000","781.96K","-0.26%"
"2022- 08- 31","196,000","195,000","197,500","194,500","708.58K","0.26%"
"2022- 08- 30","195,500","190,500","196,000","190,500","883.28K","3.71%"
"2022- 08- 29","188,500","188,500","189,000","186,500","598.99K","-2.58%"
"2022- 08- 28","193,500","193,500","193,500","193,500","","0.00%"
"2022- 08- 26","193,500","192,500","194,000","191,500","472.18K","0.78%"
"2022- 08- 25","192,000","189,000","192,500","188,500","546.35K","2.13%"
"2022- 08- 24","188,000","190,000","191,000","185,500","697.52K","-0.53%"
"2022- 08- 23","189,000","189,000","193,000","188,000","708.89K","0.00%"
"2022- 08- 22","189,000","187,500","192,000","187,000","530.43K","-0.53%"
"2022- 08- 21","190,000","190,000","190,000","190,000","","0.00%"
"2022- 08- 19","190,000","187,000","191,500","186,500","765.89K","2.15%"
"2022- 08- 18","186,000","186,500","187,500","184,000","1.43M","-2.11%"
"2022- 08- 17","190,000","195,000","196,500","188,000","1.40M","-3.80%"
"2022- 08- 16","197,500","198,000","199,500","196,000","503.08K","0.77%"
"2022- 08- 15","196,000","196,000","196,000","196,000","","0.00%"
"2022- 08- 12","196,000","193,500","197,500","193,500","623.50K","1.55%"
"2022- 08- 11","193,000","195,000","195,000","192,500","726.48K","0.26%"
"2022- 08- 10","192,500","193,000","194,500","192,000","505.71K","-0.52%"
"2022- 08- 09","193,500","195,500","196,000","191,000","959.89K","-1.28%"
"2022- 08- 08","196,000","193,500","196,000","193,000","631.97K","0.77%"
"2022- 08- 05","194,500","196,000","197,500","193,500","915.83K","-1.02%"
"2022- 08- 04","196,500","198,000","198,500","194,500","618.46K","-0.25%"
"2022- 08- 03","197,000","197,000","198,000","196,000","679.12K","0.25%"
"2022- 08- 02","196,500","196,500","197,000","193,500","709.97K","0.26%"
"2022- 08- 01","196,000","196,000","198,000","195,000","599.31K","0.00%"
"2022- 07- 29","196,000","196,000","197,000","194,000","841.74K","0.51%"
"2022- 07- 28","195,000","198,000","198,000","194,000","755.17K","-0.51%"
"2022- 07- 27","196,000","196,000","197,000","193,000","601.29K","0.00%"
"2022- 07- 26","196,000","196,000","196,500","192,500","733.76K","0.00%"
"2022- 07- 25","196,000","192,500","198,500","192,500","1.34M","2.62%"
"2022- 07- 22","191,000","191,000","193,000","188,000","1.37M","1.06%"
"2022- 07- 21","189,000","189,000","193,500","185,500","2.13M","0.00%"
"2022- 07- 20","189,000","191,500","191,500","188,500","981.57K","0.27%"
"2022- 07- 19","188,500","185,000","189,000","184,500","811.45K","1.62%"
"2022- 07- 18","185,500","187,000","188,500","183,500","694.59K","1.09%"
"2022- 07- 15","183,500","183,000","184,500","178,500","763.86K","0.55%"
"2022- 07- 14","182,500","183,000","184,500","180,500","772.22K","-0.54%"
"2022- 07- 13","183,500","180,000","185,000","178,500","933.99K","2.51%"
"2022- 07- 12","179,000","180,000","181,500","177,000","537.01K","0.00%"
"2022- 07- 11","179,000","180,000","182,000","179,000","658.93K","0.56%"
"2022- 07- 10","178,000","178,000","178,000","178,000","","0.00%"
"2022- 07- 08","178,000","177,500","180,500","177,000","822.67K","1.71%"
"2022- 07- 07","175,000","175,000","177,000","172,500","534.47K","1.45%"
"2022- 07- 06","172,500","176,000","177,000","172,000","919.59K","-2.82%"
"2022- 07- 05","177,500","180,000","181,000","173,500","1.09M","-0.28%"
"2022- 07- 04","178,000","181,000","183,000","175,000","1.00M","-1.11%"
"2022- 07- 03","180,000","180,000","180,000","180,000","","0.00%"
"2022- 07- 01","180,000","181,500","185,000","179,500","908.54K","-0.28%"
"2022- 06- 30","180,500","176,500","184,500","175,500","1.64M","2.85%"
"2022- 06- 29","175,500","180,000","181,000","172,500","2.54M","-5.65%"
"2022- 06- 28","186,000","183,500","189,000","183,500","1.02M","1.64%"
"2022- 06- 27","183,000","177,000","185,000","176,500","1.34M","5.78%"
"2022- 06- 24","173,000","170,500","175,000","170,500","471.36K","1.17%"
"2022- 06- 23","171,000","171,500","174,000","170,000","802.36K","-0.29%"
"2022- 06- 22","171,500","174,500","175,000","171,000","628.83K","-0.58%"
"2022- 06- 21","172,500","171,500","175,000","170,000","528.67K","1.17%"
"2022- 06- 20","170,500","172,500","173,000","168,500","513.97K","0.29%"
"2022- 06- 19","170,000","170,000","170,000","170,000","","0.00%"
"2022- 06- 17","170,000","168,000","172,000","168,000","776.95K","-1.73%"
"2022- 06- 16","173,000","177,000","177,500","172,500","611.43K","-0.57%"
"2022- 06- 15","174,000","173,500","179,000","171,500","990.74K","1.46%"
"2022- 06- 14","171,500","171,500","172,500","169,000","1.11M","-2.00%"
"2022- 06- 13","175,000","180,000","181,500","173,000","1.19M","-5.15%"
"2022- 06- 12","184,500","184,500","184,500","184,500","","0.00%"
"2022- 06- 10","184,500","181,500","185,000","180,500","568.93K","1.10%"
"2022- 06- 09","182,500","183,000","183,500","180,500","653.84K","-0.27%"
"2022- 06- 08","183,000","183,500","185,000","182,000","555.69K","-0.27%"
"2022- 06- 07","183,500","186,000","186,500","183,000","619.91K","-1.87%"
"2022- 06- 06","187,000","187,000","187,000","187,000","","0.00%"
"2022- 06- 03","187,000","188,500","189,000","185,000","398.01K","-0.27%"
"2022- 06- 02","187,500","189,000","189,000","186,500","387.00K","-1.06%"
"2022- 06- 01","189,500","189,500","189,500","189,500","","0.00%"
"2022- 05- 31","189,500","187,000","189,500","187,000","904.75K","1.07%"
"2022- 05- 30","187,500","187,500","188,000","185,500","366.08K","1.08%"
"2022- 05- 27","185,500","186,500","186,500","184,500","334.08K","0.82%"
"2022- 05- 26","184,000","183,500","186,000","183,000","427.28K","0.27%"
"2022- 05- 25","183,500","186,000","186,000","182,000","480.06K","-0.81%"
"2022- 05- 24","185,000","187,000","188,000","183,500","429.32K","-1.60%"
"2022- 05- 23","188,000","188,500","189,000","186,500","434.10K","0.80%"
"2022- 05- 20","186,500","183,500","186,500","183,000","465.30K","2.47%"
"2022- 05- 19","182,000","181,500","183,500","181,000","539.42K","-1.89%"
"2022- 05- 18","185,500","187,000","187,500","183,500","537.91K","0.00%"
"2022- 05- 17","185,500","185,500","186,500","182,500","526.33K","0.82%"
"2022- 05- 16","184,000","188,500","189,500","183,500","546.67K","-1.34%"
"2022- 05- 15","186,500","186,500","186,500","186,500","","0.00%"
"2022- 05- 13","186,500","182,000","187,000","181,500","921.44K","3.32%"
"2022- 05- 12","180,500","181,000","183,500","180,000","689.50K","-1.37%"
"2022- 05- 11","183,000","178,500","184,500","178,000","722.46K","1.39%"
"2022- 05- 10","180,500","180,500","181,500","176,000","770.25K","-0.55%"
"2022- 05- 09","181,500","182,000","183,500","180,500","501.89K","-0.55%"
"2022- 05- 06","182,500","181,500","183,500","181,000","372.48K","-0.82%"
"2022- 05- 05","184,000","184,000","184,000","184,000","","0.00%"
"2022- 05- 04","184,000","183,500","184,500","182,000","346.64K","0.27%"
"2022- 05- 03","183,500","185,500","186,500","182,500","660.02K","-1.87%"
"2022- 05- 02","187,000","184,000","188,000","184,000","490.95K","0.54%"
"2022- 05- 01","186,000","186,000","186,000","186,000","","0.00%"
"2022- 04- 29","186,000","187,000","188,000","184,000","761.55K","-1.33%"
"2022- 04- 28","188,500","188,000","189,000","186,000","701.95K","0.80%"
"2022- 04- 27","187,000","184,000","188,500","183,000","1.15M","0.00%"
"2022- 04- 26","187,000","187,000","191,000","186,500","2.31M","2.75%"
"2022- 04- 25","182,000","177,000","184,500","176,500","1.50M","1.11%"
"2022- 04- 22","180,000","181,500","182,500","179,000","851.03K","-1.64%"
"2022- 04- 21","183,000","184,000","184,500","182,500","652.55K","0.00%"
"2022- 04- 20","183,000","181,000","184,000","180,000","811.80K","1.10%"
"2022- 04- 19","181,000","178,500","181,500","178,000","621.46K","1.40%"
"2022- 04- 18","178,500","176,000","178,500","175,500","272.81K","0.85%"
"2022- 04- 17","177,000","177,000","177,000","177,000","","0.00%"
"2022- 04- 15","177,000","176,500","178,000","175,500","556.80K","-0.28%"
"2022- 04- 14","177,500","181,000","182,000","176,500","895.12K","-1.93%"
"2022- 04- 13","181,000","179,500","181,000","178,500","495.70K","1.69%"
"2022- 04- 12","178,000","179,000","180,500","176,500","612.70K","-0.84%"
"2022- 04- 11","179,500","176,000","181,000","175,500","638.85K","1.70%"
"2022- 04- 10","176,500","176,500","176,500","176,500","","0.00%"
"2022- 04- 08","176,500","178,000","179,000","175,500","456.87K","-1.12%"
"2022- 04- 07","178,500","180,000","182,000","178,500","773.71K","-0.83%"
"2022- 04- 06","180,000","177,000","182,000","176,500","637.92K","0.56%"
"2022- 04- 05","179,000","178,500","180,000","177,000","397.32K","0.56%"
"2022- 04- 04","178,000","177,000","179,000","174,500","507.98K","0.00%"
"2022- 04- 03","178,000","178,000","178,000","178,000","","0.00%"
"2022- 04- 01","178,000","178,000","178,500","177,000","460.81K","-1.39%"
"2022- 03- 31","180,500","180,500","181,000","179,000","573.16K","-0.28%"
"2022- 03- 30","181,000","180,000","183,000","179,500","1.08M","2.55%"
"2022- 03- 29","176,500","176,000","178,000","174,000","542.93K","1.15%"
"2022- 03- 28","174,500","172,000","175,500","171,000","458.00K","0.29%"
"2022- 03- 27","174,000","174,000","174,000","174,000","","0.00%"
"2022- 03- 25","174,000","176,500","176,500","173,000","561.34K","-1.14%"
"2022- 03- 24","176,000","174,000","177,000","173,500","704.28K","0.00%"
"2022- 03- 23","176,000","175,000","177,500","174,000","949.82K","1.44%"
"2022- 03- 22","173,500","169,000","174,500","169,000","1.06M","2.97%"
